id,title,description,availability,condition,price,link,image_link,additional_image_link,brand
collar-1,Collar Gato I,Collar en plata ley 925 con dije de gato y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,279900 COP,https://www.joyeriaws.com/producto.html?id=collar-1,https://www.joyeriaws.com/assets/images/collar-1/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-1/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-1/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-1/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-1/5-full.jpg,https://www.joyeriaws.com/assets/images/collar-1/6-full.jpg",Esmeraldas W&S
collar-2,Collar Tortuga,Collar en plata ley 925 con dije de tortuga y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,299900 COP,https://www.joyeriaws.com/producto.html?id=collar-2,https://www.joyeriaws.com/assets/images/collar-2/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-2/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-2/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-2/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-2/5-full.jpg,https://www.joyeriaws.com/assets/images/collar-2/6-full.jpg",Esmeraldas W&S
collar-3,Collar Esfera,Collar en plata ley 925 con dije de esfera y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,349900 COP,https://www.joyeriaws.com/producto.html?id=collar-3,https://www.joyeriaws.com/assets/images/collar-3/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-3/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-3/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-3/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-3/5-full.jpg",Esmeraldas W&S
collar-4,Collar Gato II,Collar en plata ley 925 con dije de gato y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,279900 COP,https://www.joyeriaws.com/producto.html?id=collar-4,https://www.joyeriaws.com/assets/images/collar-4/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-4/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-4/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-4/4-full.jpg",Esmeraldas W&S
collar-5,Collar Corazón,Collar en plata ley 925 con dije de corazón y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,349900 COP,https://www.joyeriaws.com/producto.html?id=collar-5,https://www.joyeriaws.com/assets/images/collar-5/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-5/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-5/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-5/4-full.jpg",Esmeraldas W&S
collar-6,Collar Flor I,Collar en plata ley 925 con dije de flor y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,349900 COP,https://www.joyeriaws.com/producto.html?id=collar-6,https://www.joyeriaws.com/assets/images/collar-6/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-6/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-6/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-6/4-full.jpg",Esmeraldas W&S
collar-7,Collar Corona,Collar en plata ley 925 con dije de corona y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,249900 COP,https://www.joyeriaws.com/producto.html?id=collar-7,https://www.joyeriaws.com/assets/images/collar-7/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-7/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-7/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-7/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-7/5-full.jpg,https://www.joyeriaws.com/assets/images/collar-7/6-full.jpg",Esmeraldas W&S
collar-8,Collar Gato III,Collar en plata ley 925 con dije de gato y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,349900 COP,https://www.joyeriaws.com/producto.html?id=collar-8,https://www.joyeriaws.com/assets/images/collar-8/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-8/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-8/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-8/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-8/5-full.jpg",Esmeraldas W&S
collar-9,Collar Trébol,Collar en plata ley 925 con dije de trébol y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,299900 COP,https://www.joyeriaws.com/producto.html?id=collar-9,https://www.joyeriaws.com/assets/images/collar-9/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-9/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-9/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-9/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-9/5-full.jpg",Esmeraldas W&S
collar-10,Collar Cerezas,Collar en plata ley 925 con dije de cerezas: hojas en circones y cereza en esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,249900 COP,https://www.joyeriaws.com/producto.html?id=collar-10,https://www.joyeriaws.com/assets/images/collar-10/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-10/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-10/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-10/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-10/5-full.jpg",Esmeraldas W&S
collar-11,Collar Flor II,Collar en plata ley 925 con dije de flor y esmeralda natural traída de las minas de Muzo. Pieza única hecha a mano.,in stock,new,299900 COP,https://www.joyeriaws.com/producto.html?id=collar-11,https://www.joyeriaws.com/assets/images/collar-11/1-full.jpg,"https://www.joyeriaws.com/assets/images/collar-11/2-full.jpg,https://www.joyeriaws.com/assets/images/collar-11/3-full.jpg,https://www.joyeriaws.com/assets/images/collar-11/4-full.jpg,https://www.joyeriaws.com/assets/images/collar-11/5-full.jpg",Esmeraldas W&S
